ticker,name,date,open,high,low,close,volume
VTI,Vanguard Total Stock Market ETF,2023-04-17,205.03,205.91,204.45,205.9,2780400
VTI,Vanguard Total Stock Market ETF,2023-04-14,205.33,206.5,203.81,205.08,4142040
VTI,Vanguard Total Stock Market ETF,2023-04-13,203.53,205.8,203.34,205.65,2197609
VTI,Vanguard Total Stock Market ETF,2023-04-12,205.0,205.26,202.71,203.01,2431429
VTI,Vanguard Total Stock Market ETF,2023-04-11,203.87,204.64,203.4,203.87,3389481
VTI,Vanguard Total Stock Market ETF,2023-04-10,202.0,203.68,201.65,203.66,2545300
VTI,Vanguard Total Stock Market ETF,2023-04-06,202.24,203.34,201.45,203.2,1989800
VTI,Vanguard Total Stock Market ETF,2023-04-05,202.69,203.16,201.58,202.53,3119400
VTI,Vanguard Total Stock Market ETF,2023-04-04,205.0,205.06,202.53,203.27,2881821
VTI,Vanguard Total Stock Market ETF,2023-04-03,203.72,204.99,203.33,204.64,3068203
VTI,Vanguard Total Stock Market ETF,2023-03-31,201.57,204.19,201.57,204.1,2986300
VTI,Vanguard Total Stock Market ETF,2023-03-30,201.27,201.59,200.12,201.07,2259200
VTI,Vanguard Total Stock Market ETF,2023-03-29,199.09,200.09,198.61,199.99,3486500
VTI,Vanguard Total Stock Market ETF,2023-03-28,197.2,197.65,196.14,197.15,3678717
VTI,Vanguard Total Stock Market ETF,2023-03-27,198.27,198.6,196.92,197.43,2425422
VTI,Vanguard Total Stock Market ETF,2023-03-24,194.88,196.97,193.65,196.93,2324909
VTI,Vanguard Total Stock Market ETF,2023-03-23,196.85,198.95,194.25,195.7,2629700
VTI,Vanguard Total Stock Market ETF,2023-03-22,199.85,201.41,196.12,196.13,2187900
VTI,Vanguard Total Stock Market ETF,2023-03-21,198.76,200.05,198.23,199.7,2421700
VTI,Vanguard Total Stock Market ETF,2023-03-20,195.75,197.38,195.29,196.89,2898137
VTI,Vanguard Total Stock Market ETF,2023-03-17,197.25,197.43,194.38,195.19,2902576
VTI,Vanguard Total Stock Market ETF,2023-03-16,193.33,197.91,192.8,197.74,3225511
VTI,Vanguard Total Stock Market ETF,2023-03-15,192.63,194.4,191.53,194.38,3855400
VTI,Vanguard Total Stock Market ETF,2023-03-14,195.5,196.95,193.57,195.89,4473800
VTI,Vanguard Total Stock Market ETF,2023-03-13,190.9,195.16,190.18,192.46,6253729
VTI,Vanguard Total Stock Market ETF,2023-03-10,196.25,197.0,192.26,193.26,6310538
VTI,Vanguard Total Stock Market ETF,2023-03-09,200.8,201.75,196.12,196.57,2974300
VTI,Vanguard Total Stock Market ETF,2023-03-08,200.4,201.0,199.4,200.53,1985900
VTI,Vanguard Total Stock Market ETF,2023-03-07,203.1,203.47,199.95,200.27,3346744
VTI,Vanguard Total Stock Market ETF,2023-03-06,203.86,204.98,203.03,203.3,3812890
VTI,Vanguard Total Stock Market ETF,2023-03-03,201.08,203.7,200.91,203.57,2484710
VTI,Vanguard Total Stock Market ETF,2023-03-02,197.99,200.8,197.5,200.31,3366143
VTI,Vanguard Total Stock Market ETF,2023-03-01,199.38,200.0,198.2,200.0,4176017
VTI,Vanguard Total Stock Market ETF,2023-02-28,200.25,201.08,199.52,199.52,2299124
VTI,Vanguard Total Stock Market ETF,2023-02-27,201.31,202.03,199.72,200.19,2850494
VTI,Vanguard Total Stock Market ETF,2023-02-24,199.29,199.93,198.16,199.48,3020600
VTI,Vanguard Total Stock Market ETF,2023-02-23,202.09,202.46,199.38,201.73,3440100
VTI,Vanguard Total Stock Market ETF,2023-02-22,201.0,201.96,199.93,200.66,3011715
VTI,Vanguard Total Stock Market ETF,2023-02-21,203.15,203.5,200.65,200.83,3110800
VTI,Vanguard Total Stock Market ETF,2023-02-17,204.77,205.23,203.53,205.08,2324041
VTI,Vanguard Total Stock Market ETF,2023-02-16,205.97,208.02,205.54,205.68,2458800
VTI,Vanguard Total Stock Market ETF,2023-02-15,206.46,208.5,206.04,208.46,2003152
VTI,Vanguard Total Stock Market ETF,2023-02-14,206.65,208.66,205.31,207.53,2743414
VTI,Vanguard Total Stock Market ETF,2023-02-13,205.41,207.5,204.99,207.45,3467200
VTI,Vanguard Total Stock Market ETF,2023-02-10,204.02,205.18,203.47,205.01,2159800
VTI,Vanguard Total Stock Market ETF,2023-02-09,208.46,208.61,204.1,204.64,2705943
VTI,Vanguard Total Stock Market ETF,2023-02-08,207.91,208.71,206.26,206.65,2945400
VTI,Vanguard Total Stock Market ETF,2023-02-07,206.0,209.56,205.03,208.88,3028103
VTI,Vanguard Total Stock Market ETF,2023-02-06,206.41,207.07,205.5,206.28,2841716
VTI,Vanguard Total Stock Market ETF,2023-02-03,207.51,210.18,207.04,207.84,2854200
VTI,Vanguard Total Stock Market ETF,2023-02-02,209.0,210.88,208.1,210.01,3730807
VTI,Vanguard Total Stock Market ETF,2023-02-01,203.91,208.32,202.51,206.92,4385600
VTI,Vanguard Total Stock Market ETF,2023-01-31,201.65,204.49,201.45,204.43,4827629
VTI,Vanguard Total Stock Market ETF,2023-01-30,202.28,203.61,201.09,201.21,2992300
VTI,Vanguard Total Stock Market ETF,2023-01-27,202.6,205.05,202.58,203.94,4521900
